Day,Date,Medium,Value
Day 1,4/10/2017,Reading,693
Day 2,4/11/2017,Reading,684
Day 3,4/12/2017,Reading,693
Day 4,4/13/2017,Reading,708
Day 5,4/14/2017,Reading,691
Day 6,4/15/2017,Reading,738
Day 7,4/16/2017,Reading,721
Day 8,4/17/2017,Reading,688
Day 9,4/18/2017,Reading,758
Day 10,4/19/2017,Reading,61
Day 11,4/2/2017,Reading,695
Day 12,4/3/2017,Reading,697
Day 13,4/4/2017,Reading,667
Day 14,4/5/2017,Reading,718
Day 15,4/6/2017,Reading,723
Day 16,4/7/2017,Reading,685
Day 17,4/8/2017,Reading,690
Day 18,4/9/2017,Reading,660
Day 1,4/10/2017,Video,498
Day 2,4/11/2017,Video,488
Day 3,4/12/2017,Video,466
Day 4,4/13/2017,Video,461
Day 5,4/14/2017,Video,450
Day 6,4/15/2017,Video,479
Day 7,4/16/2017,Video,459
Day 8,4/17/2017,Video,464
Day 9,4/18/2017,Video,480
Day 10,4/19/2017,Video,39
Day 11,4/2/2017,Video,464
Day 12,4/3/2017,Video,481
Day 13,4/4/2017,Video,470
Day 14,4/5/2017,Video,492
Day 15,4/6/2017,Video,470
Day 16,4/7/2017,Video,473
Day 17,4/8/2017,Video,451
Day 18,4/9/2017,Video,445
