TimeStamp,Unknown,Cultural,Academic,Professional,Social,Total
4/10/2017,498,194,226,148,125,1191
4/11/2017,488,195,233,135,121,1172
4/12/2017,466,184,234,151,124,1159
4/13/2017,461,197,236,144,131,1169
4/14/2017,450,198,228,144,121,1141
4/15/2017,479,221,227,161,129,1217
4/16/2017,459,226,236,141,118,1180
4/17/2017,464,177,221,156,134,1152
4/18/2017,480,238,238,158,124,1238
4/19/2017,39,19,20,13,9,100
4/2/2017,464,215,222,131,127,1159
4/3/2017,481,212,209,146,130,1178
4/4/2017,470,191,228,132,116,1137
4/5/2017,492,228,217,144,129,1210
4/6/2017,470,206,238,135,144,1193
4/7/2017,473,197,221,154,113,1158
4/8/2017,451,206,217,133,134,1141
4/9/2017,445,199,201,133,127,1105
